date,overdtryggd_5_ara,overdtryggd_10_ara,verdtryggd_5_ara,verdtryggd_10_ara
2001-01-01,9.477142857142857,8.84,5.602380952380953,5.671428571428572
2001-02-01,9.633000000000001,9.4765,5.4135,5.526
2001-03-01,9.959545454545454,9.39090909090909,5.589090909090909,5.350909090909091
2001-04-01,9.954117647058823,9.795294117647058,5.200588235294117,5.2558823529411764
2001-05-01,10.432380952380953,9.393809523809525,5.33,5.186190476190476
2001-06-01,9.999,9.403,5.2375,5.2885
2001-07-01,9.365454545454545,8.278636363636364,5.674090909090909,5.47409090909091
2001-08-01,9.143636363636364,7.962727272727273,5.836363636363636,5.515909090909091
2001-09-01,9.2705,8.8805,5.7665,5.3875
2001-10-01,9.193478260869565,9.05,5.912173913043478,5.4369565217391305
2001-11-01,9.33,9.402727272727272,6.3145454545454545,5.639090909090909
2001-12-01,9.354705882352942,9.428823529411764,6.2447058823529416,5.66
2002-01-01,9.141904761904762,9.063809523809525,6.360952380952381,5.591904761904762
2002-02-01,9.1115,9.206,6.7155,5.737
2002-03-01,8.962631578947368,8.637894736842105,7.025263157894737,5.751052631578947
2002-04-01,8.4915,7.923,7.142,5.658
2002-05-01,8.1885,7.9115,7.109,5.5385
2002-06-01,8.205789473684211,8.08578947368421,6.617894736842105,5.5415789473684205
2002-07-01,8.152608695652175,8.262608695652174,6.5517391304347825,5.568695652173913
2002-08-01,7.795238095238095,8.106666666666667,6.652380952380953,5.456190476190476
2002-09-01,7.59047619047619,7.964285714285714,6.786666666666667,5.397142857142857
2002-10-01,7.255217391304348,7.695652173913044,6.538260869565217,5.177826086956522
2002-11-01,7.03,7.548095238095238,5.252857142857143,5.1119047619047615
2002-12-01,7.112777777777778,7.697222222222222,4.695,5.0505555555555555
2003-01-01,7.274285714285714,7.91,4.821428571428571,4.859523809523809
2003-02-01,7.148,7.752,4.587,4.8100000000000005
2003-03-01,7.337142857142857,7.930476190476191,4.226666666666667,4.7838095238095235
2003-04-01,7.515,8.177777777777777,4.087777777777778,4.8133333333333335
2003-05-01,7.3415,8.0415,4.003,4.6455
2003-06-01,6.918421052631579,7.475263157894736,3.943157894736842,4.401052631578947
2003-07-01,7.133913043478261,7.777826086956522,3.983913043478261,4.300869565217392
2003-08-01,6.817,7.3355,3.7665,4.1585
2003-09-01,6.89,7.529090909090909,3.6977272727272728,4.157272727272727
2003-10-01,7,7.749130434782609,3.738695652173913,4.243913043478261
2003-11-01,7.1925,7.9985,3.6485,4.2225
2003-12-01,7.49421052631579,8.369473684210526,3.6657894736842107,4.33
2004-01-01,7.446,8.405,3.7755,4.335
2004-02-01,7.1594999999999995,8.0115,3.7025,4.2204999999999995
2004-03-01,6.969130434782609,7.6552173913043475,3.734782608695652,3.970869565217391
2004-04-01,6.95,7.473333333333334,3.522777777777778,3.72
2004-05-01,7.37,7.877894736842105,3.4389473684210525,3.8421052631578947
2004-06-01,7.71047619047619,7.921904761904762,3.432857142857143,4.021428571428571
