Ár;Mánuður;Heiti;Bankar, sparisjóðir og lánafyrirtæki;Verðbréfa- og fjárfestingarsjóðir;Lífeyrissjóðir;Fyrirtæki;Tryggingafélög;Einstaklingar;Aðrir;Erlendir aðilar
2025;sep;RIKB 31 0124;4505;20523;64008;5192;9787;1954;6355;13518
2025;sep;RIKB 32 1015;0;2440;65028;100;32;;;
2025;sep;RIKB 35 0917;3327;18592;29286;1313;8818;303;1014;24006
2025;sep;RIKB 38 0215;1403;11233;13856;930;7057;105;380;7369
2025;sep;RIKB 42 0217;0;7335;28242;1110;8658;92;646;24407
2025;sep;RIKS 26 0216;17688;6548;13570;10596;7964;5461;317;204
2025;sep;RIKS 29 0917;1165;9509;70377;762;1853;58;170;
2025;sep;RIKS 30 0701;1933;9850;56613;1212;7653;1552;493;16
2025;sep;RIKS 33 0321;2269;10676;58070;1005;3607;2029;2328;71
2025;sep;RIKS 34 1016;79;424;57144;783;791;546;15;571
2025;sep;RIKS 36 0815;0;;59000;;;;;
2025;sep;RIKS 37 0115;768;5733;61530;527;1698;138;194;105
2025;sep;RIKS 39 1115;0;400;48600;;;;;
2025;sep;RIKS 41 0815;0;700;49300;;;;;
2025;sep;RIKS 44 1017;172;959;45107;1415;644;1294;451;270
2025;sep;RIKS 47 1115;0;800;47200;;;;;
2025;sep;RIKS 50 0915;0;700;36145;;;;;
2025;sep;Víxlar alls;64120;46415;310;12153;2840;500;725;4285
2025;ágú;RIKB 26 1015;40241;15271;8688;6162;1639;1665;2;18467
2025;ágú;RIKB 27 0415;48866;26955;14115;12769;4844;2447;367;5422
2025;ágú;RIKB 28 1115;24675;22224;43349;8740;11163;2332;8495;3059
2025;ágú;RIKB 31 0124;5623;19422;63588;4839;10952;1453;6470;12287
2025;ágú;RIKB 32 1015;0;340;67244;;16;;;
2025;ágú;RIKB 35 0917;2608;19023;28894;1322;8365;303;839;25205
2025;ágú;RIKB 38 0215;1797;11937;12033;880;4887;105;450;4071
2025;ágú;RIKB 42 0217;0;8937;27867;975;8138;72;646;25566
2025;ágú;RIKS 26 0216;22454;8486;14107;11167;8149;5482;317;204
2025;ágú;RIKS 29 0917;779;9628;70432;535;1558;35;170;
2025;ágú;RIKS 30 0701;1479;10830;56346;1212;7508;1545;458;16
2025;ágú;RIKS 33 0321;2460;10915;57249;1005;3767;2029;2348;71
2025;ágú;RIKS 34 1016;79;381;57144;783;791;589;15;571
2025;ágú;RIKS 36 0815;0;;59000;;;;;
2025;ágú;RIKS 37 0115;1188;5983;60840;527;1948;138;244;105
2025;ágú;RIKS 39 1115;0;;49000;;;;;
2025;ágú;RIKS 41 0815;0;;50000;;;;;
2025;ágú;RIKS 44 1017;172;659;45338;1415;644;1363;451;270
2025;ágú;RIKS 47 1115;0;500;47500;;;;;
2025;ágú;RIKS 50 0915;0;700;36145;;;;;
2025;ágú;Víxlar alls;67771;42524;1010;13108;2840;500;925;5205
2025;júl;RIKB 26 1015;41439;14925;8788;6411;1639;1646;2;18036
2025;júl;RIKB 27 0415;48264;27673;13845;12951;4808;2355;367;5422
2025;júl;RIKB 28 1115;22476;25164;43437;8884;12108;2312;8495;1161
2025;júl;RIKB 31 0124;7688;17798;63448;4489;11202;1453;6270;12286
2025;júl;RIKB 32 1015;0;140;67460;;;;;
2025;júl;RIKB 35 0917;3086;18128;28754;1329;8565;303;839;25205
2025;júl;RIKB 38 0215;1701;12202;8220;675;4170;105;450;4071
2025;júl;RIKB 42 0217;0;8783;27817;983;7538;72;646;25566
2025;júl;RIKS 26 0216;23117;9860;14372;10717;8962;4867;430;204
2025;júl;RIKS 29 0917;1005;7990;68706;530;844;;;
2025;júl;RIKS 30 0701;1544;10672;56146;1212;7528;1535;458;18
2025;júl;RIKS 33 0321;2514;10541;57149;1005;3722;2032;2348;84
2025;júl;RIKS 34 1016;79;80;57444;783;791;590;55;531
2025;júl;RIKS 36 0815;0;;59000;;;;;
2025;júl;RIKS 37 0115;928;6393;61140;527;1948;138;244;105
2025;júl;RIKS 39 1115;0;;49000;;;;;
2025;júl;RIKS 41 0815;0;;50000;;;;;
2025;júl;RIKS 44 1017;167;3;45988;1421;644;1368;451;270
2025;júl;RIKS 47 1115;0;;48000;;;;;
2025;júl;RIKS 50 0915;0;1000;35845;;;;;
2025;júl;Víxlar alls;67430;40634;730;11030;2910;500;725;4855
2025;jún;RIKB 26 1015;39295;13996;11458;6036;1559;1170;2;17570
2025;jún;RIKB 27 0415;46172;25854;13695;12321;4905;1647;267;5328
2025;jún;RIKB 28 1115;21327;26488;43208;8409;11983;2244;8595;1785
2025;jún;RIKB 31 0124;6473;17208;65598;4394;10772;1453;6450;12286
2025;jún;RIKB 32 1015;0;;56000;;;;;
2025;jún;RIKB 35 0917;3238;18743;28229;1329;8328;307;964;25090
2025;jún;RIKB 38 0215;2289;11302;7695;675;4359;105;450;4298
2025;jún;RIKB 42 0217;1020;6935;27817;971;7870;72;526;27817
2025;jún;RIKS 26 0216;25849;15119;16335;11210;9886;4469;520;204
2025;jún;RIKS 29 0917;0;;67000;;;;;
2025;jún;RIKS 30 0701;1723;11603;55601;1212;7314;1534;458;17
2025;jún;RIKS 33 0321;2674;10868;57109;1005;3751;2026;2348;84
2025;jún;RIKS 34 1016;79;80;57444;783;791;590;55;531
2025;jún;RIKS 36 0815;0;;59000;;;;;
2025;jún;RIKS 37 0115;1069;7018;60745;527;1956;138;244;5
2025;jún;RIKS 39 1115;0;;49000;;;;;
2025;jún;RIKS 41 0815;0;;50000;;;;;
2025;jún;RIKS 44 1017;167;3;45988;1421;644;1368;453;269
2025;jún;RIKS 47 1115;0;;48000;;;;;
2025;jún;RIKS 50 0915;0;;47000;;;;;
2025;jún;Víxlar alls;81834;41615;1030;11700;2830;;725;4798
