Ár;Mánuður;Heiti;Bankar, sparisjóðir og lánafyrirtæki;Verðbréfa- og fjárfestingarsjóðir;Lífeyrissjóðir;Fyrirtæki;Tryggingafélög;Einstaklingar;Aðrir;Erlendir aðilar
2024;feb;RIKS 30 0701;1601;17284;50920;1256;6120;1334;626;1
2024;feb;RIKS 33 0321;2784;13464;53421;976;4035;2243;2767;85
2024;feb;RIKS 37 0115;999;7021;43655;392;1961;131;249;5
2024;feb;Víxlar alls;83100;27535;180;5450;1220;;;683
2024;jan;RIKB 24 0415;57004;8690;4864;7412;2676;1476;930;3732
2024;jan;RIKB 25 0612;29955;14720;35469;3786;10050;1427;5492;8865
2024;jan;RIKB 26 1015;24646;15364;6905;5005;8154;1819;682;4758
2024;jan;RIKB 28 1115;5654;25292;48358;3955;11233;863;8270;9840
2024;jan;RIKB 31 0124;4464;14184;70132;3554;8889;1306;6907;16027
2024;jan;RIKB 35 0917;2536;9261;4480;202;1420;44;130;3500
2024;jan;RIKB 42 0217;3387;10584;22405;533;5156;46;323;22769
2024;jan;RIKS 26 0216;36979;13640;12288;4995;12648;2889;62;121
2024;jan;RIKS 30 0701;1276;17508;51061;1332;6170;1338;561;1
2024;jan;RIKS 33 0321;3904;12569;52992;1407;3677;2236;2705;85
2024;jan;RIKS 37 0115;1618;7091;43155;333;1961;131;249;5
2024;jan;Víxlar alls;71740;30705;180;5200;1600;;;600
2023;des;RIKB 24 0415;57401;9061;6032;7583;3794;1825;100;3711
2023;des;RIKB 25 0612;28273;12031;37357;3765;9460;1250;5502;12126
2023;des;RIKB 26 1015;18565;13057;5689;4551;6516;1514;442;3861
2023;des;RIKB 28 1115;6551;23906;48308;3899;10685;729;8270;11157
2023;des;RIKB 31 0124;3802;16131;70862;3606;8521;1287;6909;13564
2023;des;RIKB 35 0917;799;9345;2347;102;2058;44;130;
2023;des;RIKB 42 0217;470;10225;21925;533;5149;46;323;21243
2023;des;RIKS 26 0216;37565;13253;11763;5030;12934;2979;62;120
2023;des;RIKS 30 0701;1595;17638;50818;1322;5402;1339;569;1
2023;des;RIKS 33 0321;4167;12665;52499;1407;3614;2254;2720;70
2023;des;RIKS 37 0115;799;7516;41759;353;2484;131;442;5
2023;des;Víxlar alls;64875;31162;80;4240;2680;;833;
2023;nóv;RIKB 24 0415;59429;12958;7584;7537;5679;1839;84;4226
2023;nóv;RIKB 25 0612;25663;11766;44651;3694;10464;1092;5502;6931
2023;nóv;RIKB 26 1015;15665;14724;5353;4205;6126;1494;440;1696
2023;nóv;RIKB 28 1115;6587;23389;49514;3499;10185;719;8270;11302
2023;nóv;RIKB 31 0124;5175;15717;70501;3501;7971;1199;6909;13760
2023;nóv;RIKB 35 0917;2100;6413;1722;27;1088;20;130;
2023;nóv;RIKB 42 0217;1108;9871;21925;483;5229;20;443;21243
2023;nóv;RIKS 26 0216;36091;13958;11530;4879;14279;3110;62;284
2023;nóv;RIKS 30 0701;13562;12326;48816;867;3297;702;33;0
2023;nóv;RIKS 33 0321;15364;8296;49240;813;3717;1694;207;63
2023;nóv;RIKS 37 0115;1604;6391;40967;353;2284;131;442;5
2023;nóv;Víxlar alls;93346;35802;80;6640;3280;2;2433;
2023;okt;RIKB 24 0415;59787;11916;7389;7419;7967;1802;226;3629
2023;okt;RIKB 25 0612;25308;11938;45040;4023;10614;1639;5502;5699
2023;okt;RIKB 26 1015;17107;14616;5143;3662;5226;830;440;1168
2023;okt;RIKB 28 1115;4535;23436;49220;2901;8635;381;8285;11302
2023;okt;RIKB 31 0124;4401;16486;70451;3567;7971;1246;6909;13761
2023;okt;RIKB 35 0917;1795;5028;1722;27;338;;130;
2023;okt;RIKB 42 0217;759;9969;21910;448;4079;7;443;21243
2023;okt;RIKS 26 0216;36114;14230;11481;4546;13888;3078;62;283
2023;okt;RIKS 30 0701;13213;12254;48845;962;2997;739;33;0
2023;okt;RIKS 33 0321;14623;8115;49470;858;4377;1694;207;60
2023;okt;RIKS 37 0115;861;5741;40007;316;2257;135;377;
2023;okt;Víxlar alls;82611;13897;;4750;3060;2;2433;163
2023;sep;RIKB 24 0415;59301;12065;10779;6486;7907;1602;266;929
2023;sep;RIKB 25 0612;24661;11724;47760;3759;9714;1612;5462;5071
2023;sep;RIKB 26 1015;13976;15230;5312;3445;3726;717;295;84
2023;sep;RIKB 28 1115;5470;22937;49420;2827;8185;418;8185;11302
2023;sep;RIKB 31 0124;4519;17357;70518;3481;8347;1259;7109;12392
2023;sep;RIKB 42 0217;1498;10853;21710;404;4179;7;443;21243
2023;sep;RIKS 26 0216;37483;12864;11423;4599;13801;3048;92;283
2023;sep;RIKS 30 0701;13876;11606;48821;911;2997;739;33;
2023;sep;RIKS 33 0321;15117;7827;49470;741;4326;1701;207;66
2023;sep;RIKS 37 0115;1496;5768;39317;363;2257;135;377;
2023;sep;Víxlar alls;109822;22697;;4653;4660;2;833;163
2023;ágú;RIKB 24 0415;60655;12582;11450;6434;6705;1751;366;891
2023;ágú;RIKB 25 0612;20300;12850;47865;3413;9469;1608;5784;5058
2023;ágú;RIKB 26 1015;11060;17882;5071;3264;3136;589;295;86
2023;ágú;RIKB 28 1115;4105;22548;49478;2747;7935;373;8233;11169
2023;ágú;RIKB 31 0124;4354;16733;71208;3509;8621;1259;7130;12418
2023;ágú;RIKB 42 0217;1778;11819;20692;404;4037;7;393;21243
2023;ágú;RIKS 26 0216;37642;12661;11289;4729;14177;2877;130;283
2023;ágú;RIKS 30 0701;14205;11186;49839;945;3037;736;135;
2023;ágú;RIKS 33 0321;16110;8497;48870;746;4236;1702;177;66
2023;ágú;RIKS 37 0115;1684;6284;37597;171;1528;114;50;
2023;ágú;Víxlar alls;119635;22000;;4683;4780;22;737;163
2023;júl;RIKB 24 0415;58990;15831;11390;5037;;1352;364;828
2023;júl;RIKB 25 0612;17019;13233;48943;5385;;1922;5482;5093
2023;júl;RIKB 26 1015;11206;15592;4831;2921;;580;250;84
2023;júl;RIKB 28 1115;3596;19805;50407;2435;;310;8233;11167
2023;júl;RIKB 31 0124;5274;17366;71010;1925;;828;7170;12450
2023;júl;RIKB 42 0217;874;11284;18372;99;;7;293;21368
2023;júl;RIKS 26 0216;37399;12930;11076;4972;;2864;159;299
2023;júl;RIKS 30 0701;14237;10907;49677;958;;733;135;
2023;júl;RIKS 33 0321;15594;8296;48900;746;;1699;177;66
2023;júl;RIKS 37 0115;1479;5048;37327;171;;114;50;
2023;júl;Víxlar alls;127159;23675;;1703;;23;737;
2023;jún;RIKB 24 0415;58788;15200;11390;5427;;1368;364;754
2023;jún;RIKB 25 0612;16876;13003;48811;5597;;1946;5519;5063
2023;jún;RIKB 26 1015;9144;16172;4731;2543;;534;250;89
2023;jún;RIKB 28 1115;3309;20396;50767;2497;;311;8233;11162
2023;jún;RIKB 31 0124;5511;16637;71515;1922;;856;7200;12452
2023;jún;RIKB 42 0217;2343;10028;16740;99;;1;153;21368
2023;jún;RIKS 26 0216;37244;12460;10450;5296;;2896;159;286
2023;jún;RIKS 30 0701;13415;11827;49677;958;;757;135;
2023;jún;RIKS 33 0321;14883;8648;49400;746;;1705;177;66
2023;jún;RIKS 37 0115;1832;4798;37327;171;;114;50;
2023;jún;Víxlar alls;149138;19925;;1533;;21;737;
2023;maí;RIKB 23 0515;;;;1000;;;;
2023;maí;RIKB 24 0415;58484;15273;11450;5498;;1213;192;595
2023;maí;RIKB 25 0612;16849;13461;48704;5728;;1869;5519;5048
2023;maí;RIKB 26 1015;9894;14225;4178;1486;;429;250;83
2023;maí;RIKB 28 1115;4198;19729;51737;2617;;312;8233;11159
2023;maí;RIKB 31 0124;4846;17463;73454;1887;;871;7200;12439
2023;maí;RIKB 42 0217;1346;9662;18240;129;;1;223;21443
2023;maí;RIKS 26 0216;36374;14576;9375;5020;;2886;159;260
2023;maí;RIKS 30 0701;13938;11837;49006;973;;757;135;
2023;maí;RIKS 33 0321;15371;8325;49396;794;;1722;177;66
2023;maí;RIKS 37 0115;1675;4442;34027;176;;111;50;
2023;maí;Víxlar alls;128964;19000;;633;;25;737;
2023;apr;RIKB 23 0515;45454;7388;10425;2856;;974;633;872
2023;apr;RIKB 24 0415;55880;14921;10880;5021;;1077;52;367
2023;apr;RIKB 25 0612;17808;15200;48009;5559;;1839;5519;3393
2023;apr;RIKB 26 1015;12596;11469;2048;1291;;418;250;36
2023;apr;RIKB 28 1115;2847;16752;50726;2641;;281;8233;11259
2023;apr;RIKB 31 0124;3971;16011;74394;1890;;877;7200;12545
2023;apr;RIKB 42 0217;1172;5647;19146;149;;3;298;20707
2023;apr;RIKS 26 0216;31914;20057;8687;4930;;2725;159;263
2023;apr;RIKS 30 0701;13438;12257;49051;1033;;740;135;1
2023;apr;RIKS 33 0321;14828;8535;49980;889;;1725;177;66
2023;apr;RIKS 37 0115;1418;4463;34027;183;;111;100;
2023;apr;Víxlar alls;79200;10800;;180;;25;3500;
2023;mar;RIKB 23 0515;52424;8875;10425;2967;;974;633;805
2023;mar;RIKB 24 0415;48367;16097;10580;4426;;843;52;366
2023;mar;RIKB 25 0612;15946;17258;48009;5352;;1845;5519;3393
2023;mar;RIKB 26 1015;9323;7824;1458;821;;312;100;36
2023;mar;RIKB 28 1115;3156;15972;51426;2746;;262;8233;11259
2023;mar;RIKB 31 0124;4463;14383;75094;2175;;884;7260;12545
2023;mar;RIKB 42 0217;1528;3707;20246;216;;8;298;20871
2023;mar;RIKS 26 0216;32515;20164;8382;5138;;2692;159;262
2023;mar;RIKS 30 0701;13944;12447;49171;1033;;720;135;1
2023;mar;RIKS 33 0321;14872;8455;49980;889;;1718;177;66
2023;mar;RIKS 37 0115;1143;4383;34027;244;;103;150;
2023;mar;Víxlar alls;77200;9400;;2180;;25;3700;
2023;feb;RIKB 23 0515;50464;10965;11775;3243;;1056;290;791
2023;feb;RIKB 24 0415;46712;17214;10805;4394;;707;52;351
2023;feb;RIKB 25 0612;14878;18225;48342;5126;;1894;5519;3382
2023;feb;RIKB 26 1015;10948;6611;1458;541;;284;100;34
2023;feb;RIKB 28 1115;3147;17016;49776;2636;;262;8233;11259
2023;feb;RIKB 31 0124;5645;11618;73688;1849;;666;7260;12544
2023;feb;RIKB 42 0217;1007;2762;19466;237;;8;388;20871
2023;feb;RIKS 26 0216;28400;25074;8617;5167;;2817;159;276
2023;feb;RIKS 30 0701;12715;11833;50656;906;;640;135;1
2023;feb;RIKS 33 0321;14513;8675;50010;916;;1722;207;58
2023;feb;RIKS 37 0115;858;4153;32917;244;;103;150;
2023;feb;Víxlar alls;60196;9580;;2200;;25;344;
2023;jan;RIKB 23 0515;51585;12686;12125;3184;;1056;290;725
2023;jan;RIKB 24 0415;42418;22290;10555;3736;;609;52;291
2023;jan;RIKB 25 0612;13338;19898;48222;5255;;1864;5519;3302
2023;jan;RIKB 26 1015;5140;3740;1208;281;;163;100;
2023;jan;RIKB 28 1115;3012;17436;49276;1800;;260;8203;11259
2023;jan;RIKB 31 0124;5861;11528;73689;1945;;586;7260;12544
2023;jan;RIKB 42 0217;1130;3832;18996;179;;8;388;20871
2023;jan;RIKS 26 0216;30049;19493;9129;5636;;2969;134;276
2023;jan;RIKS 30 0701;13146;11273;50687;677;;633;135;1
2023;jan;RIKS 33 0321;14812;8412;49995;907;;1755;207;26
2023;jan;RIKS 37 0115;1086;3711;29049;342;;105;150;
2023;jan;Víxlar alls;38203;13980;;;;;344;
2022;des;RIKB 23 0515;50915;13064;13989;3134;;1052;290;735
2022;des;RIKB 24 0415;40835;24150;10355;3891;;552;52;301
2022;des;RIKB 25 0612;12043;22515;48321;5380;;2240;5519;1530
2022;des;RIKB 28 1115;3058;17273;48976;1795;;247;8203;11014
2022;des;RIKB 31 0124;6155;12617;72799;1496;;56;7260;12562
2022;des;RIKB 42 0217;501;3702;18771;202;;7;523;20871
2022;des;RIKS 26 0216;26863;16396;7734;5380;;2815;134;245
2022;des;RIKS 30 0701;13384;11328;50503;677;;664;135;1
2022;des;RIKS 33 0321;14354;9233;49985;877;;1753;207;26
2022;des;RIKS 37 0115;627;2490;23688;192;;103;380;
2022;des;Víxlar alls;78063;26100;;500;;6;345;
2022;nóv;RIKB 23 0515;52354;16433;17060;4186;;1007;290;305
2022;nóv;RIKB 24 0415;38730;23010;9683;3070;;538;52;107
2022;nóv;RIKB 25 0612;13838;22932;45631;5408;;2369;5469;1521
2022;nóv;RIKB 28 1115;3729;17174;48126;1723;;214;8203;11007
2022;nóv;RIKB 31 0124;7352;11543;72299;1453;;100;7310;12539
2022;nóv;RIKB 42 0217;1535;2762;17431;202;;7;563;20823
2022;nóv;RIKS 26 0216;26929;14441;6594;5353;;2822;134;284
2022;nóv;RIKS 30 0701;13600;11107;50245;940;;664;135;1
2022;nóv;RIKS 33 0321;14795;9394;49686;887;;1731;207;15
2022;nóv;RIKS 37 0115;1710;2550;23708;253;;108;380;
2022;nóv;Víxlar alls;81163;23000;;500;;6;345;
2022;okt;RIKB 23 0515;50706;16853;17860;4462;;788;290;305
2022;okt;RIKB 24 0415;35662;21880;9088;2214;;407;32;107
2022;okt;RIKB 25 0612;14859;22752;45541;5076;;2322;5469;1538
2022;okt;RIKB 28 1115;4841;13185;48626;1506;;196;8243;12947
2022;okt;RIKB 31 0124;7661;12311;70873;1433;;107;7310;12529
2022;okt;RIKB 42 0217;1869;3122;15751;202;;7;523;20823
2022;okt;RIKS 26 0216;26376;14263;6979;5269;;2672;174;297
2022;okt;RIKS 30 0701;14164;10567;50643;940;;643;135;
2022;okt;RIKS 33 0321;14595;9109;50001;1060;;1733;207;15
2022;okt;RIKS 37 0115;1587;2710;22700;155;;103;380;
2022;okt;Víxlar alls;73756;14600;;250;;;345;
2022;sep;RIKB 22 1026;43738;14463;9439;1190;;906;1215;875
2022;sep;RIKB 23 0515;50249;17543;18760;4163;;728;26;195
2022;sep;RIKB 24 0415;35363;20908;8548;1416;;241;32;107
2022;sep;RIKB 25 0612;14176;23908;45892;4884;;2340;5469;1508
2022;sep;RIKB 28 1115;3842;13220;48806;1559;;156;8143;14342
2022;sep;RIKB 31 0124;8488;12108;70330;1433;;86;7310;12705
2022;sep;RIKB 42 0217;1329;2842;15640;202;;7;523;20831
2022;sep;RIKS 26 0216;25614;15447;7029;4739;;2468;224;237
2022;sep;RIKS 30 0701;14376;10213;50843;942;;684;135;
2022;sep;RIKS 33 0321;15163;8510;49992;1060;;1744;287;15
2022;sep;RIKS 37 0115;1372;2740;22650;155;;103;380;
2022;sep;Víxlar alls;56200;10000;200;;;;640;
2022;ágú;RIKB 22 1026;45165;13228;13078;1840;;950;1215;875
2022;ágú;RIKB 23 0515;50968;16000;19733;4118;;624;26;195
2022;ágú;RIKB 24 0415;31163;17454;8278;1335;;234;32;107
2022;ágú;RIKB 25 0612;13350;21588;45899;4641;;2308;5424;1508
2022;ágú;RIKB 28 1115;3747;12541;48806;1384;;105;8143;14339
2022;ágú;RIKB 31 0124;5127;10210;70890;1361;;86;7210;12705
2022;ágú;RIKB 42 0217;1851;3142;14390;202;;7;523;20831
2022;ágú;RIKS 26 0216;25068;18712;4702;4552;;2290;257;199
2022;ágú;RIKS 30 0701;13722;11185;50420;942;;686;200;
2022;ágú;RIKS 33 0321;14890;8720;49777;1060;;1746;287;15
2022;ágú;RIKS 37 0115;1112;2340;20705;155;;103;675;
2022;ágú;Víxlar alls;59600;6300;200;;;;940;
2022;júl;RIKB 22 1026;45084;10376;16408;1246;;934;1195;918
2022;júl;RIKB 23 0515;52749;16375;19233;2240;;643;26;199
2022;júl;RIKB 24 0415;30907;14064;8366;1026;;234;32;107
2022;júl;RIKB 25 0612;14686;19845;46509;4498;;2328;5424;1485
2022;júl;RIKB 28 1115;3619;10880;49147;1384;;105;8143;14328
2022;júl;RIKB 31 0124;4005;8517;69360;1338;;85;7210;17973
2022;júl;RIKB 42 0217;756;2901;13395;110;;7;347;20842
2022;júl;RIKS 26 0216;23276;22417;3822;3604;;2093;257;186
2022;júl;RIKS 30 0701;13779;11230;50382;960;;684;255;
2022;júl;RIKS 33 0321;15107;8895;49957;910;;1744;287;15
2022;júl;RIKS 37 0115;1412;2180;20705;155;;103;595;
2022;júl;Víxlar alls;44700;6000;1300;250;;;1060;11
2022;jún;RIKB 22 1026;45509;10365;16408;1218;;984;629;850
2022;jún;RIKB 23 0515;53671;15980;18983;1950;;592;2274;199
2022;jún;RIKB 24 0415;31635;12314;7598;954;;169;6;107
2022;jún;RIKB 25 0612;17006;18145;46229;4520;;2220;5411;1480
2022;jún;RIKB 28 1115;3747;11012;49042;1414;;94;8143;14328
2022;jún;RIKB 31 0124;4577;8372;68973;1338;;85;7210;17973
2022;jún;RIKB 42 0217;1103;2566;12260;110;;7;347;20875
2022;jún;RIKS 26 0216;22124;24176;3344;3365;;1857;225;207
2022;jún;RIKS 30 0701;13595;11910;50492;960;;678;255;
2022;jún;RIKS 33 0321;14996;9155;50007;910;;1745;317;15
2022;jún;RIKS 37 0115;1087;1950;20885;155;;103;595;
2022;jún;Víxlar alls;72685;11550;1100;250;;3;1800;76
2022;maí;RIKB 22 1026;44149;9994;18516;878;;760;629;829
2022;maí;RIKB 23 0515;54333;17229;18833;1060;;171;2424;199
2022;maí;RIKB 24 0415;31995;12109;7938;648;;169;6;107
2022;maí;RIKB 25 0612;16847;15326;49949;3789;;2228;5411;1480
2022;maí;RIKB 28 1115;2598;10122;50547;1414;;94;8143;14977
2022;maí;RIKB 31 0124;3298;9199;69323;1360;;85;7170;18223
2022;maí;RIKB 42 0217;1497;2706;11560;100;;6;317;20875
2022;maí;RIKS 26 0216;19815;26386;3451;3269;;1763;245;207
2022;maí;RIKS 30 0701;13137;12146;50472;1039;;649;285;
2022;maí;RIKS 33 0321;14839;8825;49902;888;;1745;317;15
2022;maí;RIKS 37 0115;302;2020;21065;155;;103;995;
2022;maí;Víxlar alls;37385;3650;1500;300;;3;1800;76
2022;apr;RIKB 22 1026;55937;9889;24688;884;;904;629;829
2022;apr;RIKB 23 0515;45698;12313;17733;463;;46;1924;199
2022;apr;RIKB 24 0415;32035;12224;7638;642;;66;6;107
2022;apr;RIKB 25 0612;16293;15464;50909;3231;;2018;5411;2036
2022;apr;RIKB 28 1115;2602;8722;48841;1502;;93;8143;14946
2022;apr;RIKB 31 0124;4104;8711;69223;1343;;82;7170;18055
2022;apr;RIKB 42 0217;1660;2401;5310;95;;;312;20175
2022;apr;RIKS 26 0216;12432;26579;2545;3654;;1924;195;171
2022;apr;RIKS 30 0701;13020;12728;49655;1000;;648;272;
2022;apr;RIKS 33 0321;14933;8906;49772;988;;1750;272;15
2022;apr;RIKS 37 0115;1670;1612;19615;245;;103;945;
2022;apr;Víxlar alls;47516;7950;1500;300;;3;2300;65
2022;mar;RIKB 22 1026;55414;9776;25188;884;;908;629;1119
2022;mar;RIKB 23 0515;45818;12593;17633;463;;46;1624;199
2022;mar;RIKB 24 0415;31697;12199;7348;601;;41;6;107
2022;mar;RIKB 25 0612;18102;14929;50326;3027;;2023;5411;2043
2022;mar;RIKB 28 1115;3408;8561;48941;1502;;93;8143;14141
2022;mar;RIKB 31 0124;4376;8195;69592;1437;;82;7170;18055
2022;mar;RIKB 42 0217;861;1900;4194;60;;;245;175
2022;mar;RIKS 26 0216;11840;26969;2655;3243;;1897;195;171
2022;mar;RIKS 30 0701;12702;13164;49450;1124;;641;262;
2022;mar;RIKS 33 0321;15603;8616;49327;906;;1739;272;15
2022;mar;RIKS 37 0115;2390;1510;19290;145;;70;845;
2022;mar;Víxlar alls;56100;14300;2750;900;;8;2300;
2022;feb;RIKB 22 1026;53542;10542;25760;1044;;929;629;1337
2022;feb;RIKB 23 0515;45422;11643;18279;459;;121;2254;199
2022;feb;RIKB 24 0415;31281;12164;7000;485;;20;6;107
2022;feb;RIKB 25 0612;16651;15074;50799;3095;;2110;5411;2043
2022;feb;RIKB 28 1115;4041;9302;48891;1482;;86;8143;12723
2022;feb;RIKB 31 0124;4126;8831;69012;1537;;142;7130;19529
2022;feb;RIKS 26 0216;10926;24079;2780;2953;;1904;195;66
2022;feb;RIKS 30 0701;13020;13077;49723;1262;;636;262;
2022;feb;RIKS 33 0321;15666;9071;48943;695;;1740;302;15
2022;feb;RIKS 37 0115;1270;1760;17685;220;;70;154;
2022;feb;Víxlar alls;58500;19600;3750;500;;8;1550;
2022;jan;RIKB 22 1026;51130;12010;26515;1044;;959;629;1337
2022;jan;RIKB 23 0515;44421;12014;18879;485;;91;2288;199
2022;jan;RIKB 24 0415;29094;10854;6735;405;;20;100;282
2022;jan;RIKB 25 0612;17353;14786;50936;2377;;2096;5361;2043
2022;jan;RIKB 28 1115;3629;9708;49766;1602;;86;8143;12558
2022;jan;RIKB 31 0124;3759;8887;69872;1674;;142;7108;19529
2022;jan;RIKS 26 0216;6184;21485;2715;3019;;1979;45;64
2022;jan;RIKS 30 0701;13168;13187;49099;1238;;636;262;
2022;jan;RIKS 33 0321;15633;8922;48571;772;;1749;416;15
2022;jan;RIKS 37 0115;2030;2890;10308;140;;;122;
2022;jan;Víxlar alls;64899;22350;;300;;8;1551;
2021;des;RIKB 22 1026;49232;12015;26954;1044;;959;629;1337
2021;des;RIKB 23 0515;44905;11652;19163;485;;91;2351;129
2021;des;RIKB 24 0415;24020;11649;6400;405;;;100;181
2021;des;RIKB 25 0612;17097;14186;52269;2381;;2078;5311;1693
2021;des;RIKB 28 1115;3756;10140;49576;1597;;86;8118;12444
2021;des;RIKB 31 0124;3861;8763;68682;1598;;142;7108;18764
2021;des;RIKS 26 0216;5841;21612;3368;2981;;1957;45;64
2021;des;RIKS 30 0701;12839;13093;48505;1276;;817;262;1
2021;des;RIKS 33 0321;14834;9142;48251;752;;1751;493;15
2021;des;Víxlar alls;51249;25300;;300;;5;601;
2021;nóv;RIKB 22 1026;47835;11721;28257;1044;;966;629;1330
2021;nóv;RIKB 23 0515;45054;10854;18963;500;;91;2785;129
2021;nóv;RIKB 24 0415;24285;11749;6070;390;;;100;181
2021;nóv;RIKB 25 0612;18376;13333;52139;2103;;2459;5334;1736
2021;nóv;RIKB 28 1115;3310;10240;49195;1836;;130;8118;12208
2021;nóv;RIKB 31 0124;4797;9091;67962;2180;;145;7108;18739
2021;nóv;RIKS 26 0216;6708;21294;3945;2469;;2168;145;104
2021;nóv;RIKS 30 0701;14480;12314;48617;1244;;878;262;18
2021;nóv;RIKS 33 0321;14963;9197;48389;747;;1634;493;35
2021;nóv;Víxlar alls;74249;19900;;;;;351;
2021;okt;RIKB 22 1026;46133;11310;29597;1094;;966;629;1353
2021;okt;RIKB 23 0515;46994;10944;16513;520;;91;3285;129
2021;okt;RIKB 24 0415;22395;9989;2550;350;;;100;181
2021;okt;RIKB 25 0612;20856;11750;51688;1961;;2261;5304;1706
2021;okt;RIKB 28 1115;4270;10355;46499;1806;;126;8108;12211
2021;okt;RIKB 31 0124;3001;10106;66522;2348;;138;7103;18739
2021;okt;RIKS 26 0216;6274;20777;3945;2252;;2007;145;73
2021;okt;RIKS 30 0701;13192;12236;49072;1373;;1155;262;3
2021;okt;RIKS 33 0321;14458;9142;46279;655;;1661;388;15
2021;okt;Víxlar alls;38069;18100;100;;;;431;
2021;sep;RIKB 22 1026;45452;11740;29206;1088;;966;629;1316
2021;sep;RIKB 23 0515;46996;11165;16513;520;;91;3462;129
2021;sep;RIKB 24 0415;22430;10104;2550;350;;;100;181
2021;sep;RIKB 25 0612;22258;12620;49235;1853;;2210;5304;1704
2021;sep;RIKB 28 1115;4100;10659;45577;1806;;133;8108;12211
2021;sep;RIKB 31 0124;4937;11312;63342;2488;;128;7078;18223
2021;sep;RIKS 26 0216;6530;18136;3859;1322;;1356;145;44
2021;sep;RIKS 30 0701;13166;11841;48946;1720;;1758;282;11
2021;sep;RIKS 33 0321;14338;9417;45752;635;;1658;388;15
2021;sep;Víxlar alls;36169;14100;100;;;;431;
2021;ágú;RIKB 22 1026;46674;12321;27153;588;;972;629;1315
2021;ágú;RIKB 23 0515;46787;11414;16513;510;;91;3732;129
2021;ágú;RIKB 24 0415;19121;7793;2240;350;;;1360;181
2021;ágú;RIKB 25 0612;18742;14069;49327;1866;;2260;5354;2514
2021;ágú;RIKB 28 1115;4396;8068;44888;1366;;151;8108;14728
2021;ágú;RIKB 31 0124;8127;10453;62550;2171;;144;7073;16361
2021;ágú;RIKS 26 0216;6100;17450;3971;1313;;1397;195;45
2021;ágú;RIKS 30 0701;14083;11175;48411;1476;;1760;282;11
2021;ágú;RIKS 33 0321;14372;9628;44752;775;;1697;408;15
2021;ágú;Víxlar alls;42319;15000;5203;57;;;351;
2021;júl;RIKB 21 0805;30054;11536;3555;110;;87;536;5
2021;júl;RIKB 22 1026;44759;12074;23579;820;;941;629;1205
2021;júl;RIKB 23 0515;41653;10711;14773;522;;91;3622;4
2021;júl;RIKB 24 0415;13123;6013;1350;;;;400;175
2021;júl;RIKB 25 0612;18236;14070;49825;2060;;2174;5354;2514
2021;júl;RIKB 28 1115;4024;8153;44558;1993;;151;8108;14668
2021;júl;RIKB 31 0124;7865;10591;62350;2242;;178;7073;17359
2021;júl;RIKS 26 0216;5739;17205;3738;1359;;1776;195;45
2021;júl;RIKS 30 0701;12735;10790;47765;1353;;1508;282;9
2021;júl;RIKS 33 0321;14798;9480;44422;804;;1700;408;15
2021;júl;Víxlar alls;53270;10380;4700;77;;;173;
2021;jún;RIKB 21 0805;30049;13036;3555;110;;87;536;180
2021;jún;RIKB 22 1026;46471;10710;23579;820;;943;118;1716
2021;jún;RIKB 23 0515;41967;10404;14773;498;;88;3622;4
2021;jún;RIKB 24 0415;10128;5212;200;;;;200;
2021;jún;RIKB 25 0612;18826;14026;49825;2047;;2140;5432;2137
2021;jún;RIKB 28 1115;5209;8042;44558;1993;;151;7696;14544
2021;jún;RIKB 31 0124;8002;10755;62443;2242;;181;6953;17176
2021;jún;RIKS 26 0216;6828;17001;3688;1459;;2038;195;47
2021;jún;RIKS 30 0701;12562;10889;47684;1300;;1406;307;9
2021;jún;RIKS 33 0321;14692;9596;44422;804;;1704;408;66
2021;jún;Víxlar alls;40470;7580;4600;77;;;173;
2021;maí;RIKB 21 0805;30197;13236;3575;110;;89;536;180
2021;maí;RIKB 22 1026;46457;10942;23599;880;;945;118;1726
2021;maí;RIKB 23 0515;40996;11215;14773;498;;88;3852;4
2021;maí;RIKB 24 0415;9150;3920;;;;;200;
2021;maí;RIKB 25 0612;19053;13578;50418;2051;;2219;5032;2125
2021;maí;RIKB 28 1115;5517;8139;44502;1987;;193;7361;14094
2021;maí;RIKB 31 0124;6152;9392;62063;2247;;185;6641;17125
2021;maí;RIKS 26 0216;6143;16991;3691;1378;;2082;195;6
2021;maí;RIKS 30 0701;12696;11169;47644;1214;;1259;307;2
2021;maí;RIKS 33 0321;15012;9424;44210;804;;1875;408;66
2021;maí;Víxlar alls;49870;6380;4630;127;;;243;30
2021;apr;RIKB 21 0805;30242;13502;3575;110;;89;576;180
2021;apr;RIKB 22 1026;46567;11477;23245;880;;946;935;1326
2021;apr;RIKB 23 0515;41864;11338;14633;498;;88;3102;4
2021;apr;RIKB 25 0612;20835;13303;50074;2147;;2309;3252;2305
2021;apr;RIKB 28 1115;5895;7569;43827;1997;;191;5151;16913
2021;apr;RIKB 31 0124;6804;8920;61259;2105;;185;5356;19635
2021;apr;RIKS 26 0216;5833;17222;3581;1575;;1981;195;4
2021;apr;RIKS 30 0701;13027;11167;47926;1069;;1020;317;1
2021;apr;RIKS 33 0321;15409;9981;42361;1196;;1912;408;66
2021;apr;Víxlar alls;55130;5750;4260;220;;;240;30
2021;mar;RIKB 21 0805;30135;13723;3575;155;;94;576;180
2021;mar;RIKB 22 1026;45994;12264;23285;880;;995;918;1351
2021;mar;RIKB 23 0515;43546;7824;10473;498;;38;2532;4
