date,overdtryggd_5_ara,overdtryggd_10_ara,verdtryggd_5_ara,verdtryggd_10_ara
2026-03-18,7.1057722294872585,6.815549431625833,2.8159897513604633,2.748549428755291
2026-03-19,7.294143270903235,6.962115331102847,2.871852218031902,2.7876355327422084
2026-03-20,7.381949545976897,7.05415819375753,2.8875039513356824,2.8305751002902477
2026-03-21,7.381712391226642,7.054027404344177,2.887529159527577,2.8305186894523957
2026-03-22,7.381475314622906,7.053896657887928,2.8875543172037226,2.830462232269352
2026-04-07,7.452018631239259,7.044614146342839,2.857152879428297,2.7938076182941094
2026-04-08,7.381459116582404,6.924387699715002,2.8623048211920654,2.7887966678435436
2026-04-09,7.455693706415147,6.991958367451856,2.859910780772676,2.7909944179736073
2026-04-10,7.443625816478451,6.990764030771163,2.8983780567307114,2.798522990733647
2026-04-11,7.443159560374152,6.990537007462069,2.898362365749445,2.7984567816285155
2026-04-12,7.442692780347491,6.990310219611093,2.8983466230987096,2.7983905317099755
2026-04-13,7.493322016140128,7.025799463952509,2.8863882873966697,2.8081532239287252
2026-04-14,7.495548088929959,7.02871929070415,2.8647346916291,2.780723693119504
2026-04-15,7.529462772600252,7.071684776007375,2.8703169893060454,2.7912041546459583
